energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
124.4,64.49,72.3,147.52
124.4,64.49,72.3,147.52
124.4,64.49,72.3,147.52
125.14,62.37,73.99,135.58
125.14,62.37,73.99,135.58
125.14,62.37,73.99,135.58
125.14,62.37,73.99,135.58
105.76,58.58,27.44,104.36
105.76,58.58,27.44,104.36
105.76,58.58,27.44,104.36
105.76,58.58,27.44,104.36
101.04,58.28,0.31,99.28
101.04,58.28,0.31,99.28
101.04,58.28,0.31,99.28
101.04,58.28,0.31,99.28
89.48,52.98,0.8,92.53
89.48,52.98,0.8,92.53
89.48,52.98,0.8,92.53
89.48,52.98,0.8,92.53
73.56,59.47,6.429999999999999,89.84
73.56,59.47,6.429999999999999,89.84
73.56,59.47,6.429999999999999,89.84
73.56,59.47,6.429999999999999,89.84
64.49,72.3,7.1,79.32
64.49,72.3,7.1,79.32
64.49,72.3,7.1,79.32
64.49,72.3,7.1,79.32
62.37,73.99,21.58,75.58
62.37,73.99,21.58,75.58
62.37,73.99,21.58,75.58
62.37,73.99,21.58,75.58
58.58,27.44,43.32,70.06
58.58,27.44,43.32,70.06
58.58,27.44,43.32,70.06
58.58,27.44,43.32,70.06
58.28,0.31,60.22,67.22
58.28,0.31,60.22,67.22
58.28,0.31,60.22,67.22
58.28,0.31,60.22,67.22
52.98,0.8,91.55,67.22
52.98,0.8,91.55,67.22
52.98,0.8,91.55,67.22
52.98,0.8,91.55,67.22
59.47,6.429999999999999,113.56,74.5
59.47,6.429999999999999,113.56,74.5
59.47,6.429999999999999,113.56,74.5
59.47,6.429999999999999,113.56,74.5
72.3,7.1,147.52,83.8
72.3,7.1,147.52,83.8
72.3,7.1,147.52,83.8
72.3,7.1,147.52,83.8
73.99,21.58,135.58,77.26
73.99,21.58,135.58,77.26
73.99,21.58,135.58,77.26
73.99,21.58,135.58,77.26
27.44,43.32,104.36,33.62
27.44,43.32,104.36,33.62
27.44,43.32,104.36,33.62
27.44,43.32,104.36,33.62
0.31,60.22,99.28,2.12
0.31,60.22,99.28,2.12
0.31,60.22,99.28,2.12
0.31,60.22,99.28,2.12
0.8,91.55,92.53,0.53
0.8,91.55,92.53,0.53
0.8,91.55,92.53,0.53
0.8,91.55,92.53,0.53
6.429999999999999,113.56,89.84,0.65
6.429999999999999,113.56,89.84,0.65
6.429999999999999,113.56,89.84,0.65
6.429999999999999,113.56,89.84,0.65
7.1,147.52,79.32,0.69
7.1,147.52,79.32,0.69
7.1,147.52,79.32,0.69
7.1,147.52,79.32,0.69
21.58,135.58,75.58,0.7900000000000001
21.58,135.58,75.58,0.7900000000000001
21.58,135.58,75.58,0.7900000000000001
21.58,135.58,75.58,0.7900000000000001
43.32,104.36,70.06,2.78
43.32,104.36,70.06,2.78
43.32,104.36,70.06,2.78
43.32,104.36,70.06,2.78
60.22,99.28,67.22,42.65
60.22,99.28,67.22,42.65
60.22,99.28,67.22,42.65
60.22,99.28,67.22,42.65
91.55,92.53,67.22,90.87999999999998
91.55,92.53,67.22,90.87999999999998
91.55,92.53,67.22,90.87999999999998
91.55,92.53,67.22,90.87999999999998
113.56,89.84,74.5,98.94
113.56,89.84,74.5,98.94
113.56,89.84,74.5,98.94
113.56,89.84,74.5,98.94
147.52,79.32,83.8,102.87999999999998
147.52,79.32,83.8,102.87999999999998
147.52,79.32,83.8,102.87999999999998
147.52,79.32,83.8,102.87999999999998
135.58,75.58,77.26,91.16
135.58,75.58,77.26,91.16
135.58,75.58,77.26,91.16
135.58,75.58,77.26,91.16
104.36,70.06,33.62,92.32
104.36,70.06,33.62,92.32
104.36,70.06,33.62,92.32
