month,hour,minutes,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
11,10,45,1,0,0,0,0,0.0,0,0,0,0.0
11,11,0,1,0,0,0,0,0.0,0,0,0,0.0
11,11,15,1,0,0,0,0,0.0,0,0,0,0.0
11,11,30,1,0,0,0,0,0.0,0,0,0,0.0
11,11,45,1,0,0,0,0,0.0,0,0,0,0.0
11,12,0,1,0,0,0,0,0.0,0,0,0,0.0
11,12,15,1,0,0,0,0,0.0,0,0,0,0.0
11,12,30,1,0,0,0,0,0.0,0,0,0,0.0
11,12,45,1,0,0,0,0,0.0,0,0,0,0.0
11,13,0,1,0,0,0,0,0.0,0,0,0,0.0
11,13,15,1,0,0,0,0,0.0,0,0,0,0.0
11,13,30,1,0,0,0,0,0.0,0,0,0,0.0
11,13,45,1,0,0,0,0,0.0,0,0,0,0.0
11,14,0,1,0,0,0,0,0.0,0,0,0,0.0
11,14,15,1,0,0,0,0,0.0,0,0,0,0.0
11,14,30,1,0,0,0,0,0.0,0,0,0,0.0
11,14,45,1,0,0,0,0,0.0,0,0,0,0.0
11,15,0,1,0,0,0,0,0.0,0,0,0,0.0
11,15,15,1,0,0,0,0,0.0,0,0,0,0.0
11,15,30,1,0,0,0,0,0.0,0,0,0,0.0
11,15,45,1,0,0,0,0,0.0,0,0,0,0.0
11,16,0,1,0,0,0,0,0.0,0,0,0,0.0
11,16,15,1,0,0,0,0,0.0,0,0,0,0.0
11,16,30,1,0,0,0,0,0.0,0,0,0,0.0
11,16,45,1,0,0,0,0,0.0,0,0,0,0.0
11,17,0,1,0,0,0,0,0.0,0,0,0,0.0
11,17,15,1,0,0,0,0,0.0,0,0,0,0.0
11,17,30,1,0,0,0,0,0.0,0,0,0,0.0
11,17,45,1,0,0,0,0,0.0,0,0,0,0.0
11,18,0,1,0,0,0,0,0.0,0,0,0,0.0
11,18,15,1,0,0,0,0,0.0,0,0,0,0.0
11,18,30,1,0,0,0,0,0.0,0,0,0,0.0
11,18,45,1,0,0,0,0,0.0,0,0,0,0.0
11,19,0,1,0,0,0,0,0.0,0,0,0,0.0
11,19,15,1,0,0,0,0,0.0,0,0,0,0.0
11,19,30,1,0,0,0,0,0.0,0,0,0,0.0
11,19,45,1,0,0,0,0,0.0,0,0,0,0.0
11,20,0,1,0,0,0,0,0.0,0,0,0,0.0
11,20,15,1,0,0,0,0,0.0,0,0,0,0.0
11,20,30,1,0,0,0,0,0.0,0,0,0,0.0
11,20,45,1,0,0,0,0,0.0,0,0,0,0.0
11,21,0,1,0,0,0,0,0.0,0,0,0,0.0
11,21,15,1,0,0,0,0,0.0,0,0,0,0.0
11,21,30,1,0,0,0,0,0.0,0,0,0,0.0
11,21,45,1,0,0,0,0,0.0,0,0,0,0.0
11,22,0,1,0,0,0,0,0.0,0,0,0,0.0
11,22,15,1,0,0,0,0,0.0,0,0,0,0.0
11,22,30,1,0,0,0,0,0.0,0,0,0,0.0
11,22,45,1,0,0,0,0,0.0,0,0,0,0.0
11,23,0,1,0,0,0,0,0.0,0,0,0,0.0
11,23,15,1,0,0,0,0,0.0,0,0,0,0.0
11,23,30,1,0,0,0,0,0.0,0,0,0,0.0
