run_group,key,algorithm,job_id,cost_eur,import_kwh,export_kwh,net_exchange_kwh,solar_generation_kwh,solar_export_kwh,solar_self_consumption_ratio,peak_daily_ratio,peak_all_time_ratio,ramping_ratio,load_factor_penalty_ratio,emissions_kgco2,deferrable_service_ratio,deferrable_missed_cycles
w2_neural_smoke,matd3,MATD3,8aad07b6-ff9d-4936-a0a1-8668475d545a,7972.798496934159,75925.94927772498,21388.791923729,54537.157353996,56028.316126510676,29256.539972873812,0.47782582102212023,1.995896736287558,1.6412765204017559,1.7301541399687166,0.9760959618084513,14943.037888543211,0.9649122807017544,6.0
w2_neural_smoke,masac,MASAC,21d9bb1c-9ea8-4c17-88f3-9eac6fc648f1,8298.33877881517,80991.60922383761,20942.82732432207,60048.781899515554,56028.316126510676,28180.587289564195,0.4970295515229645,1.9401399140945514,1.6871330330953997,2.9239681132223034,0.9406509937577814,19699.340046648766,0.847953216374269,26.0
w2_neural_smoke,ippo,IPPO,37d8cca6-bff4-4aba-b2e7-be4534970598,7601.283493932435,75409.08316955005,22813.188355265367,52595.89481428469,56028.316126510676,28846.221191756253,0.48514923906293855,1.8823622896719547,1.3405559730891974,2.9852557706394065,0.9733575962424014,19345.534584482062,0.8245614035087719,30.0
w2_neural_smoke,mappo,MAPPO,8e8c6476-279a-4ff7-ae00-1503c0cef6fd,7390.240851895377,74147.27667826186,23063.137481047488,51084.139197214376,56028.316126510676,28841.1926321325,0.48523898938869164,1.85939543720743,1.3480919164575942,2.9985586670950726,0.9789406654232895,19277.416439527824,0.8421052631578947,27.0
w3_candidates,maddpg_base_s123,MADDPG,883676c1-3a37-4c6c-985d-e03168bdb5e3,17361.91844422219,159556.16229593425,58297.13655582031,101259.02574011395,145422.30110790755,79201.73618387972,0.45536732962910725,2.134409535427716,1.6965907522422696,1.6268338625061605,0.8994943490646539,30766.665971260536,0.9863013698630136,5.0
w3_candidates,maddpg_base_s456,MADDPG,df4e739f-2e76-46cb-995a-19568331d9f7,19285.343679703677,167577.2498198094,57441.270121075344,110135.97969873405,145422.30110790755,79184.29710148147,0.4554872499045079,2.664346842381356,1.9470986576902625,1.7624166652638686,0.8696126790241434,31774.329576736392,0.136986301369863,315.0
w3_candidates,maddpg_base_s789,MADDPG,5f654836-91bb-4ed9-bfe8-ad6653e98d0b,20864.599379926338,177500.11419046848,57256.46665690634,120243.64753356214,145422.30110790755,79183.90464156913,0.4554899486646661,2.3072500975312904,1.6620059595885355,1.6699576168375498,0.8754928316364027,32995.75134107865,0.9945205479452055,2.0
w3_candidates,matd3_base_s123,MATD3,2ef5c880-c7a7-46d1-a948-8f85d9d5b4eb,19675.004007825206,169022.897422809,57699.06086869945,111323.83655410957,145422.30110790755,79213.52436473034,0.4552862679160082,2.2444745672111828,1.6965907386516037,1.654276949583341,0.8876271904840867,31981.966994503393,0.9863013698630136,5.0
w3_candidates,matd3_base_s456,MATD3,6b7483f9-1f75-4968-86f8-2fe78deafde9,19397.41800923554,168067.19492623123,57492.39325044551,110574.80167578573,145422.30110790755,79197.82552485017,0.4553942213712937,2.546404077744231,1.9470987880092607,1.7310947530269032,0.8766209463168516,31853.451613399324,0.3041095890410959,254.0
w3_candidates,matd3_base_s789,MATD3,b150218b-4996-49aa-b5a7-3e0349e4a1cc,21096.77025748767,178547.08090392585,57423.58508702849,121123.49581689732,145422.30110790755,79333.90307186637,0.454458480800697,2.30890460188008,1.6620058100912107,1.6664735870274148,0.8753602870300047,33129.02377691586,0.9945205479452055,2.0
w3b_guardrails,maddpg_service_v2g_s123,MADDPG,62668f47-5d25-4c5f-ba31-45726ba9631e,20787.279079923614,176828.73833366108,57030.7515515273,119797.98678213375,145422.30110790755,79367.14872123621,0.45422986628203954,2.5266629710864836,1.9336545502203037,1.7344434624251837,0.8668288418214875,33074.67698292007,0.5561643835616439,162.0
w3b_guardrails,maddpg_service_heavy_s123,MADDPG,c055bf52-aed2-4bdb-8d5d-26a4160d0ca5,20576.947117609074,175434.08702830816,57194.35174053826,118239.73528776994,145422.30110790755,79265.41368230176,0.45492944975829713,2.6777994151569096,1.949162445665229,1.7755606859341222,0.8624645851406965,32884.03202426005,0.21643835616438356,286.0
w3b_guardrails,matd3_service_v2g_s123,MATD3,ec5cd702-2c1d-49b6-832a-c7f5a6eeb305,20783.76550710443,176492.27495071507,57296.12157645682,119196.15337425827,145422.30110790755,79279.50555403763,0.45483254665864525,2.5076635688410067,1.632100772966404,1.725127250116072,0.8707161760928716,32893.28640434966,0.5616438356164384,160.0
w3b_guardrails,matd3_service_heavy_s123,MATD3,42a2d745-a690-4606-9a88-8aad2833568b,20951.73646279771,177220.64978887056,56806.78113719693,120413.86865167363,145422.30110790755,79038.28265889455,0.456491321779829,2.4711466074492914,1.9167952273073257,1.7145219450680107,0.8768915028177697,33073.62411650741,0.6027397260273972,145.0
w3b_guardrails,masac_service_v2g_s123,MASAC,6ac21239-d3a0-497d-b1b8-e820646157fc,10172.213143983394,90758.01489189772,20240.466274242357,70517.54861765535,56028.316126510676,28801.451075629215,0.4859483013803915,2.1178346670546317,1.5175069078659345,2.5839122933609815,0.9170882855660552,19877.666830581704,0.847953216374269,26.0
w3b_guardrails,ippo_service_v2g_s123,IPPO,7046a6e5-3611-484b-b898-c2f6341061a3,6900.5216414802235,71197.16614735217,23634.74996325689,47562.41618409527,56028.316126510676,28909.548151523864,0.4840189720096753,1.8399526215404665,1.4013854199190439,3.0358218776114105,0.993019114798534,19063.469976081804,0.8362573099415205,28.0
w3b_guardrails,mappo_service_v2g_s123,MAPPO,90321e71-fe66-4bb5-8745-02e46ba1dceb,6688.252393856626,69833.65993862854,23825.850662068988,46007.80927655955,56028.316126510676,28932.790116474556,0.48360414667567436,1.819191794842121,1.3335653037236703,3.0246512399206646,0.9985076780431628,18908.18101442032,0.8362573099415205,28.0
w4_reward_profiles,maddpg_v46_precision_s123,MADDPG,12476efd-479f-41fa-8927-4250d0d37221,20099.265734803703,172684.66974029268,57141.984991721576,115542.68474857113,145422.30110790755,79194.9448976377,0.45541403007457043,2.742786506504548,1.9627891943846008,1.7957091268166643,0.8619234727771369,32363.448516878627,0.06027397260273973,343.0
w4_reward_profiles,maddpg_v50_deadline_s123,MADDPG,26ef0c1a-e286-401a-a709-cad60b3d5515,21076.605778453268,178391.0368821164,57162.37807694054,121228.65880517583,145422.30110790755,79199.71012421697,0.45538126187778794,2.335462851935342,1.696590806604933,1.6730470447981256,0.875034283710137,33097.638788277174,0.9561643835616438,16.0
w4_reward_profiles,maddpg_v52_peak_deadline_s123,MADDPG,682c49db-9c6e-407b-ad9c-db202379e37d,21108.096949426785,178561.46302037255,57157.587778061396,121403.87524231113,145422.30110790755,79198.54304206371,0.4553892873466766,2.322885144222795,1.696590833786265,1.6694456884566269,0.8753894427698038,33117.81541333038,0.9835616438356164,6.0
w4_reward_profiles,matd3_v46_precision_s123,MATD3,6a7415a2-a6c9-419d-b254-4fe3090bb2a5,20089.083303840845,172626.39080564267,57154.30936761177,115472.0814380309,145422.30110790755,79201.18408684433,0.45537112613783526,2.7431463531997773,1.9627892863827407,1.795996381006657,0.8620209523654304,32353.925017410133,0.06027397260273973,343.0
w4_reward_profiles,matd3_v50_deadline_s123,MATD3,fb9a3c27-1158-4c0e-8d80-32b11c0ccb8e,20088.336223353,172640.80654428987,57165.42394532985,115475.38259896002,145422.30110790755,79205.23016605899,0.45534330317544336,2.7437336549223543,1.962789178661533,1.7961559222681942,0.8620668681766203,32355.079130379694,0.06027397260273973,343.0
w4_reward_profiles,matd3_v52_peak_deadline_s123,MATD3,a2879b72-d448-4952-90c0-d8fd84786cf1,20087.706722405095,172636.37324357557,57162.55131367571,115473.82192989987,145422.30110790755,79201.19699783123,0.45537103735511897,2.7436372587360607,1.962789178661533,1.7959777444716374,0.8620542379437924,32354.35414194783,0.06027397260273973,343.0
